building,point,view
shelbyville,1735,2
marstons,934,0
newfields,1338,1
ranchester,281,4
marstons,613,4
coffeen,37,2
leonardo,1805,13
beechwood,562,9
marstons,772,2
ranchester,887,2
shelbyville,2295,11
stockman,1484,16
shelbyville,2368,8
lakeville,1148,3
wainscott,194,3
wainscott,175,2
woodbine,1975,2
forkland,681,1
wainscott,888,2
marstons,1751,8
beechwood,883,5
klickitat,1186,16
klickitat,2158,0
shelbyville,1629,4
leonardo,383,2
marstons,2190,0
shelbyville,995,0
leonardo,91,1
hiteman,1219,4
lindenwood,675,5
ranchester,1211,0
lakeville,1410,6
shelbyville,346,5
wainscott,899,5
cosmos,982,3
shelbyville,113,3
pomaria,775,2
pomaria,600,2
tolstoy,685,5
lakeville,1240,1
newfields,1645,6
lindenwood,537,7
klickitat,782,2
merom,916,6
leonardo,481,2
marstons,25,0
wainscott,1320,3
tolstoy,806,6
klickitat,2228,5
woodbine,1913,2
wainscott,1431,0
leonardo,1761,0
leonardo,1482,9
klickitat,599,5
stockman,742,0
wainscott,45,13
newfields,1576,6
hiteman,1736,9
coffeen,704,3
forkland,895,2
forkland,735,2
forkland,183,0
hanson,144,6
klickitat,1243,2
newfields,48,12
lindenwood,2235,3
ranchester,1596,1
hiteman,876,1
lakeville,1255,4
lakeville,1144,3
woodbine,1896,3
hiteman,886,11
hiteman,1556,5
lakeville,442,0
coffeen,1190,6
leonardo,1802,2
hanson,1571,0
beechwood,352,4
woodbine,1345,1
forkland,600,2
onaga,545,9
cosmos,882,6
klickitat,1774,1
pomaria,457,1
hiteman,1764,0
hiteman,1506,1
shelbyville,2269,1
cosmos,646,4
shelbyville,2489,4
woodbine,266,13
leonardo,813,3
lindenwood,2163,9
shelbyville,1729,0
lakeville,733,8
wainscott,1147,1
klickitat,398,3
marstons,1106,2
hiteman,1526,5
wainscott,1783,5
leonardo,1842,0
marstons,1315,0
shelbyville,745,3
klickitat,488,16
newfields,203,0
beechwood,403,0
hiteman,212,5
klickitat,1389,4
cosmos,175,0
benevolence,392,2
wainscott,1583,0
hiteman,552,2
pinesdale,379,5
hiteman,68,14
beechwood,986,0
shelbyville,2055,3
forkland,953,2
benevolence,81,3
tolstoy,172,3
woodbine,2040,12
hiteman,533,5
newfields,1500,4
lakeville,24,7
hiteman,63,4
hanson,1424,10
shelbyville,2504,3
onaga,279,2
marstons,1533,5
marstons,82,0
hanson,851,3
shelbyville,2368,2
pinesdale,852,5
hanson,98,2
woodbine,1530,6
pomaria,1361,6
newfields,1503,12
pomaria,1106,11
wainscott,496,11
hiteman,880,7
shelbyville,1949,3
tolstoy,922,3
hanson,367,2
hiteman,1380,4
shelbyville,282,3
lindenwood,684,5
marstons,67,7
pomaria,1633,1
shelbyville,2742,9
merom,370,6
shelbyville,1736,0
pomaria,1236,2
shelbyville,860,7
pinesdale,231,9
marstons,24,2
merom,384,0
cosmos,945,7
pomaria,458,0
woodbine,1833,2
wainscott,1550,5
hiteman,954,0
klickitat,1972,0
newfields,1625,13
woodbine,1679,1
benevolence,255,1
mifflinburg,288,3
mifflinburg,489,4
stockman,1591,1
leonardo,471,1
beechwood,135,9
klickitat,1361,4
wainscott,569,1
lindenwood,1334,4
klickitat,1629,5
cosmos,984,2
hanson,660,0
klickitat,530,5
forkland,107,4
mifflinburg,785,3
beechwood,615,1
woodbine,625,5
pinesdale,176,1
tolstoy,970,2
lindenwood,1217,2
lindenwood,127,2
newfields,1169,3
tolstoy,1116,3
shelbyville,1231,1
marstons,2433,0
pomaria,557,6
marstons,562,9
hiteman,1154,2
shelbyville,2512,9
marstons,1758,2
coffeen,518,2
klickitat,914,1
shelbyville,2598,2
ranchester,653,6
tolstoy,1150,5
ranchester,219,0
tolstoy,474,8
woodbine,465,1
benevolence,917,1
cosmos,546,1
tolstoy,1651,3
hanson,1063,4
coffeen,933,1
woodbine,1804,6
wainscott,971,0
klickitat,2320,3
benevolence,690,3
marstons,791,7
tolstoy,805,6
shelbyville,24,14
woodbine,2032,3
leonardo,1522,4
woodbine,170,2
hiteman,1531,4
beechwood,618,3
hanson,1441,10
pomaria,1632,2
coffeen,792,1
lindenwood,1180,1
allensville,323,2
hanson,453,2
lakeville,559,10
klickitat,2186,5
wainscott,661,2
mifflinburg,456,0
hiteman,114,4
mifflinburg,483,3
klickitat,648,2
shelbyville,2321,9
stockman,368,1
klickitat,64,11
lindenwood,124,7
shelbyville,651,7
klickitat,239,0
allensville,101,1
pomaria,487,0
benevolence,747,3
merom,846,2
shelbyville,1396,2
shelbyville,1411,1
pomaria,611,8
lindenwood,181,6
lindenwood,1525,8
marstons,2384,1
lakeville,1096,1
beechwood,256,2
klickitat,202,5
hiteman,1239,2
klickitat,1490,2
lindenwood,1354,3
pinesdale,688,5
lindenwood,2041,3
hanson,1286,6
shelbyville,1438,10
leonardo,1990,5
lindenwood,1822,9
klickitat,518,2
klickitat,1211,4
shelbyville,2163,3
lindenwood,2628,5
ranchester,464,8
wainscott,1363,0
woodbine,929,4
beechwood,781,0
klickitat,1741,8
wainscott,1025,13
stockman,436,0
leonardo,1903,1
lakeville,778,2
marstons,589,4
lindenwood,2365,1
shelbyville,1093,0
ranchester,303,5
shelbyville,1598,1
pomaria,1157,4
lakeville,1680,0
beechwood,517,2
stockman,115,6
pinesdale,1245,5
klickitat,2105,0
coffeen,817,6
pinesdale,523,8
wainscott,64,9
marstons,2655,4
stockman,360,0
shelbyville,1175,2
hiteman,1554,9
lindenwood,2604,8
tolstoy,236,7
leonardo,646,0
pinesdale,721,7
marstons,2645,2
pomaria,1600,1
pomaria,683,1
tolstoy,315,2
lindenwood,1991,5
pomaria,10,1
hiteman,1592,2
forkland,1159,1
woodbine,1796,5
klickitat,283,5
shelbyville,228,10
tolstoy,1,2
pinesdale,398,6
shelbyville,2722,7
lindenwood,875,10
lindenwood,378,2
shelbyville,1519,12
woodbine,970,11
shelbyville,2064,2
stockman,668,2
marstons,2380,1
lakeville,1607,3
benevolence,29,6
beechwood,506,5
merom,788,6
allensville,73,3
woodbine,253,0
ranchester,950,3
lakeville,332,2
cosmos,728,3
lindenwood,26,2
mifflinburg,594,1
leonardo,633,1
lindenwood,2279,3
hiteman,49,0
benevolence,168,8
stockman,832,0
lindenwood,2557,0
lakeville,260,2
marstons,329,4
ranchester,1385,2
lakeville,869,3
woodbine,1427,5
wainscott,1449,8
hiteman,1274,4
marstons,2071,3
shelbyville,125,0
hanson,810,1
hanson,1604,3
ranchester,846,1
ranchester,947,5
cosmos,940,2
shelbyville,958,0
woodbine,1320,9
stockman,36,5
marstons,741,7
woodbine,1685,3
leonardo,882,16
woodbine,1700,11
leonardo,1420,2
klickitat,900,2
klickitat,264,0
hiteman,1820,6
pomaria,5,1
forkland,1123,7
wainscott,1438,2
merom,652,0
forkland,927,3
lindenwood,361,1
shelbyville,2023,1
beechwood,400,3
newfields,128,5
klickitat,111,7
wainscott,1231,0
stockman,738,3
beechwood,48,4
wainscott,1174,3
lakeville,1573,3
allensville,63,3
onaga,89,2
woodbine,1309,1
pinesdale,854,2
leonardo,1448,0
tolstoy,1325,4
wainscott,116,1
shelbyville,50,9
shelbyville,294,8
marstons,710,2
lakeville,345,3
lindenwood,1168,6
pomaria,566,2
lindenwood,2275,0
lakeville,1480,4
woodbine,1131,4
lindenwood,2213,8
lindenwood,753,0
newfields,1031,7
klickitat,178,4
lindenwood,287,4
leonardo,2006,2
newfields,1618,0
woodbine,805,2
tolstoy,1633,3
shelbyville,2416,1
merom,68,1
klickitat,1190,4
wainscott,96,7
tolstoy,1489,0
ranchester,307,2
cosmos,452,7
hiteman,1098,2
pomaria,790,3
newfields,508,0
newfields,1124,3
beechwood,500,0
tolstoy,110,8
woodbine,547,6
hanson,221,8
beechwood,57,4
pinesdale,1162,0
hanson,10,7
lindenwood,2154,1
lindenwood,1010,7
lakeville,1178,3
marstons,219,0
pomaria,1107,2
wainscott,332,5
woodbine,519,9
ranchester,1591,7
mifflinburg,356,0
newfields,806,0
ranchester,1351,1
marstons,502,4
lindenwood,182,1
lakeville,1320,7
coffeen,504,3
beechwood,248,6
forkland,401,1
leonardo,1437,0
leonardo,1105,4
klickitat,63,1
marstons,559,0
lakeville,561,13
lindenwood,1542,3
tolstoy,1243,2
marstons,2245,7
stockman,1147,3
wainscott,471,2
lindenwood,460,6
hiteman,1441,5
merom,920,5
shelbyville,2476,3
ranchester,1022,0
shelbyville,2552,6
woodbine,1955,13
woodbine,1055,8
onaga,304,0
hiteman,1763,4
tolstoy,1724,1
lakeville,1265,5
onaga,587,2
coffeen,1002,4
allensville,291,1
newfields,262,2
wainscott,1063,1
newfields,927,3
merom,675,2
lakeville,1317,2
leonardo,1770,11
tolstoy,844,6
benevolence,236,2
pomaria,1336,6
hanson,1077,0
shelbyville,1799,7
stockman,1380,0
wainscott,897,5
woodbine,1741,3
woodbine,1149,6
pinesdale,818,0
beechwood,583,3
newfields,492,7
hiteman,1089,0
woodbine,227,3
klickitat,1879,4
klickitat,1644,1
marstons,2368,2
merom,837,2
hiteman,211,0
marstons,2209,2
stockman,229,1
ranchester,982,3
coffeen,678,0
lindenwood,1699,5
wainscott,194,0
marstons,1782,5
allensville,229,7
wainscott,1354,5
stockman,1136,2
leonardo,540,5
hanson,771,0
wainscott,1777,2
pomaria,287,4
newfields,1051,7
klickitat,1963,2
marstons,1239,7
marstons,2532,2
tolstoy,924,6
shelbyville,11,2
lindenwood,801,8
wainscott,1601,4
lindenwood,1924,1
ranchester,1564,1
beechwood,695,2
klickitat,2285,11
woodbine,1691,0
marstons,1105,6
ranchester,1353,2
marstons,1075,2
mifflinburg,459,1
wainscott,885,9
lakeville,1809,8
shelbyville,2537,2
klickitat,486,2
allensville,99,0
hiteman,1017,2
stockman,10,5
shelbyville,2126,3
wainscott,840,5
leonardo,1545,6
hiteman,119,4
shelbyville,2486,3
lakeville,116,17
klickitat,1383,2
woodbine,585,2
lakeville,1097,10
hiteman,1520,5
tolstoy,338,2
pinesdale,331,1
hiteman,501,6
pinesdale,1168,15
lindenwood,1148,23
marstons,2384,6
woodbine,1936,0
lindenwood,1774,4
marstons,1808,12
hiteman,1487,8
wainscott,190,10
coffeen,704,0
lakeville,212,7
lakeville,579,10
hanson,1510,15
shelbyville,1888,1
klickitat,101,2
klickitat,2072,9
stockman,960,6
coffeen,318,2
coffeen,541,0
beechwood,62,3
lindenwood,1537,4
woodbine,1761,0
stockman,748,5
shelbyville,2147,0
leonardo,521,2
leonardo,1952,10
klickitat,56,0
shelbyville,95,2
allensville,233,5
shelbyville,1393,2
lakeville,104,1
newfields,245,1
coffeen,589,0
lakeville,727,4
coffeen,1267,1
hanson,734,1
hiteman,425,3
woodbine,1868,6
shelbyville,1116,4
lindenwood,2463,0
shelbyville,2100,7
mifflinburg,918,1
woodbine,364,1
newfields,216,3
leonardo,795,8
beechwood,614,3
hanson,205,4
lakeville,1267,3
pomaria,319,3
coffeen,832,1
mifflinburg,914,7
mifflinburg,740,1
marstons,2313,7
hiteman,1788,0
beechwood,440,2
woodbine,122,2
lindenwood,666,3
marstons,1596,12
cosmos,158,0
cosmos,670,2
klickitat,1435,9
hanson,1134,11
leonardo,323,5
benevolence,755,1
lindenwood,2554,5
marstons,733,6
merom,451,2
lindenwood,1545,1
pinesdale,1351,0
ranchester,536,7
merom,210,1
woodbine,846,9
benevolence,679,5
tolstoy,1444,13
hanson,163,4
shelbyville,1190,5
lakeville,1664,6
hiteman,862,4
stockman,1035,3
newfields,847,1
tolstoy,329,5
hiteman,599,2
benevolence,323,1
marstons,1642,2
pinesdale,440,6
klickitat,493,5
mifflinburg,618,6
marstons,867,6
coffeen,126,8
hanson,1083,4
hiteman,1841,4
lakeville,611,1
klickitat,686,7
woodbine,1608,4
tolstoy,853,1
wainscott,1069,0
lindenwood,497,1
pomaria,704,1
mifflinburg,662,10
lakeville,1501,1
forkland,264,4
leonardo,788,12
wainscott,584,4
onaga,428,2
tolstoy,720,7
lindenwood,2529,6
tolstoy,453,9
lakeville,1389,12
hiteman,149,2
lakeville,899,4
woodbine,1142,2
stockman,278,2
klickitat,1011,2
lindenwood,1795,6
newfields,1,2
woodbine,2027,0
leonardo,208,1
woodbine,1776,4
newfields,1335,1
onaga,464,1
pomaria,1042,5
cosmos,743,6
marstons,1897,0
hanson,1099,4
wainscott,1585,7
hiteman,1645,14
pinesdale,1292,3
hanson,106,10
ranchester,1523,3
merom,570,0
klickitat,1363,15
leonardo,83,8
marstons,2132,8
mifflinburg,972,0
pinesdale,774,2
ranchester,1629,1
marstons,740,0
klickitat,1817,11
pinesdale,3,2
leonardo,126,2
mifflinburg,613,3
leonardo,435,14
lakeville,1369,3
leonardo,1808,1
hiteman,1766,0
ranchester,1200,2
cosmos,370,0
woodbine,1874,0
cosmos,850,4
lindenwood,1613,0
coffeen,63,0
hiteman,181,0
lindenwood,66,14
shelbyville,1140,2
tolstoy,35,6
tolstoy,553,2
onaga,485,2
shelbyville,570,0
lindenwood,689,5
pomaria,338,2
pinesdale,242,0
cosmos,143,1
benevolence,477,8
cosmos,259,10
marstons,2211,1
shelbyville,2557,1
marstons,1223,5
coffeen,187,2
mifflinburg,576,1
leonardo,661,0
marstons,268,3
wainscott,1758,6
onaga,387,7
hanson,1594,0
lakeville,62,8
marstons,1387,1
klickitat,103,0
beechwood,674,1
hiteman,68,3
hiteman,1388,11
ranchester,799,2
hiteman,863,5
ranchester,1400,1
onaga,506,6
merom,771,5
leonardo,21,2
newfields,240,2
ranchester,780,3
cosmos,28,4
pomaria,1437,10
pomaria,902,2
onaga,550,10
stockman,236,2
shelbyville,336,2
newfields,1221,13
cosmos,254,0
pomaria,229,0
forkland,1050,2
hanson,720,8
lakeville,1515,8
ranchester,1106,4
newfields,761,1
beechwood,204,5
wainscott,152,2
coffeen,317,7
lakeville,1798,8
coffeen,460,6
hiteman,1232,0
pinesdale,237,0
merom,149,3
lakeville,196,6
lindenwood,2442,6
hanson,594,12
forkland,243,0
klickitat,1222,2
newfields,104,2
ranchester,722,1
wainscott,388,7
ranchester,994,1
leonardo,672,3
forkland,1095,1
stockman,1328,0
woodbine,1325,0
leonardo,1545,5
hiteman,280,8
hiteman,1244,5
leonardo,82,1
lindenwood,794,6
lindenwood,2164,7
ranchester,702,4
lakeville,239,3
shelbyville,2306,11
newfields,1626,2
leonardo,626,1
shelbyville,839,0
pinesdale,711,8
newfields,1190,9
shelbyville,2545,9
hiteman,1257,3
lindenwood,194,2
pomaria,813,7
leonardo,1296,2
tolstoy,1442,4
tolstoy,291,4
shelbyville,550,6
cosmos,50,0
tolstoy,447,0
hanson,1252,1
ranchester,484,2
stockman,230,3
pomaria,1115,5
cosmos,221,0
marstons,1063,0
tolstoy,803,8
hanson,1282,0
wainscott,1503,1
merom,424,7
marstons,2401,6
hiteman,1719,1
wainscott,49,4
ranchester,836,0
lindenwood,1058,6
coffeen,416,0
marstons,1226,13
beechwood,219,0
lindenwood,2327,0
hanson,35,2
stockman,1513,6
cosmos,945,9
pinesdale,1073,1
klickitat,846,12
wainscott,1568,0
stockman,730,0
marstons,416,4
wainscott,36,3
beechwood,505,5
leonardo,1799,5
cosmos,416,3
coffeen,915,2
pomaria,726,0
hiteman,555,2
newfields,940,4
lindenwood,1420,0
hanson,86,1
pinesdale,925,10
benevolence,359,3
lakeville,753,0
newfields,458,17
tolstoy,1298,2
newfields,521,1
pinesdale,138,1
stockman,8,2
hanson,1350,0
lakeville,1044,4
newfields,1324,0
klickitat,402,4
woodbine,1015,2
shelbyville,2301,5
tolstoy,799,1
tolstoy,993,2
lakeville,1176,0
mifflinburg,808,3
klickitat,1219,4
leonardo,790,3
klickitat,187,1
klickitat,498,3
lindenwood,1406,1
shelbyville,2009,6
pomaria,965,6
shelbyville,2523,3
forkland,1077,8
pinesdale,42,1
shelbyville,1152,10
leonardo,619,1
coffeen,37,1
hiteman,1662,2
cosmos,98,1
pomaria,1610,4
newfields,1038,0
wainscott,93,4
cosmos,831,1
allensville,138,3
marstons,2023,2
leonardo,373,3
shelbyville,2140,1
tolstoy,480,0
leonardo,1168,4
pomaria,377,8
mifflinburg,509,11
leonardo,1877,4
coffeen,1358,2
pomaria,1257,5
lindenwood,167,0
leonardo,2092,4
marstons,1818,5
marstons,2389,0
stockman,1186,3
marstons,2188,0
stockman,1048,11
hiteman,1293,9
hanson,1580,1
hiteman,685,0
klickitat,1043,5
wainscott,1225,6
klickitat,656,3
wainscott,1195,4
shelbyville,1766,0
tolstoy,1171,3
ranchester,1109,3
shelbyville,2330,0
hanson,283,3
klickitat,2133,3
beechwood,972,4
pomaria,162,3
lakeville,280,2
wainscott,799,1
pomaria,1323,3
ranchester,1193,0
shelbyville,1195,0
pinesdale,1235,13
newfields,889,11
wainscott,1284,0
wainscott,601,1
marstons,907,5
forkland,1007,5
newfields,565,2
mifflinburg,466,3
shelbyville,672,6
forkland,498,0
tolstoy,742,5
ranchester,209,4
woodbine,962,3
forkland,627,2
klickitat,285,1
cosmos,1062,0
ranchester,810,5
merom,814,1
mifflinburg,243,3
wainscott,851,7
beechwood,89,1
hanson,731,3
pomaria,1226,8
beechwood,1176,2
newfields,695,2
wainscott,198,0
hiteman,1851,5
hanson,1095,3
leonardo,1222,15
shelbyville,2641,4
forkland,1068,2
lakeville,187,4
marstons,1082,0
allensville,346,2
shelbyville,412,3
hanson,1345,6
merom,335,2
shelbyville,2366,1
coffeen,550,8
pinesdale,142,3
hanson,406,1
ranchester,1538,4
lindenwood,651,3
merom,102,2
shelbyville,16,2
marstons,1876,6
ranchester,1504,7
marstons,1722,2
hiteman,1111,1
marstons,2642,5
shelbyville,1789,6
beechwood,66,1
pinesdale,910,0
lindenwood,760,4
marstons,1337,2
woodbine,95,11
marstons,1771,3
pinesdale,1162,6
lakeville,1166,12
cosmos,82,0
woodbine,97,1
stockman,1081,1
newfields,1184,6
woodbine,1281,8
wainscott,419,4
woodbine,627,0
newfields,774,3
lindenwood,186,2
cosmos,867,0
woodbine,856,5
wainscott,280,10
tolstoy,1649,6
ranchester,1247,6
ranchester,325,1
shelbyville,256,2
ranchester,1322,4
shelbyville,1950,5
wainscott,1425,11
stockman,1592,4
klickitat,154,5
woodbine,1111,5
hanson,471,1
beechwood,766,7
klickitat,324,4
lindenwood,1073,0
coffeen,839,1
lindenwood,1383,1
hiteman,588,3
hiteman,1050,1
pomaria,102,3
cosmos,771,2
marstons,884,3
ranchester,1150,15
lindenwood,507,0
lakeville,652,14
hanson,902,2
tolstoy,190,9
tolstoy,666,1
forkland,332,2
coffeen,916,3
klickitat,666,0
shelbyville,420,0
marstons,828,1
newfields,1037,4
ranchester,1377,18
marstons,2151,0
beechwood,843,2
beechwood,915,0
wainscott,1421,6
hanson,19,5
wainscott,319,3
ranchester,353,3
lakeville,834,0
hiteman,376,14
allensville,143,1
marstons,12,3
merom,587,1
shelbyville,2780,7
mifflinburg,230,1
wainscott,943,2
ranchester,342,0
marstons,1466,2
cosmos,666,4
hiteman,572,1
hiteman,478,2
marstons,1708,4
shelbyville,511,3
hanson,54,4
hanson,83,4
leonardo,676,2
coffeen,1048,2
shelbyville,2440,5
shelbyville,1926,5
shelbyville,2754,2
newfields,825,7
ranchester,681,9
newfields,833,0
klickitat,132,11
klickitat,2213,0
klickitat,97,4
klickitat,74,15
onaga,432,0
woodbine,435,1
lakeville,1149,0
stockman,1540,7
klickitat,611,9
newfields,253,2
shelbyville,692,8
klickitat,1706,5
merom,839,0
coffeen,1107,9
woodbine,388,0
klickitat,981,1
newfields,839,4
marstons,1360,0
allensville,517,1
shelbyville,1302,4
pomaria,511,19
klickitat,1348,2
mifflinburg,797,5
tolstoy,930,2
lindenwood,1199,7
woodbine,2037,8
lakeville,1899,15
woodbine,378,4
leonardo,457,9
lakeville,400,5
lindenwood,2084,2
lakeville,788,0
woodbine,1810,3
cosmos,552,5
benevolence,210,1
tolstoy,830,8
merom,535,2
tolstoy,591,5
leonardo,1359,0
pomaria,116,4
stockman,1509,5
marstons,1141,10
lakeville,1790,1
lakeville,1041,2
klickitat,2384,1
tolstoy,608,3
klickitat,568,3
ranchester,743,5
klickitat,1605,3
marstons,314,3
woodbine,97,3
klickitat,2190,10
mifflinburg,165,3
marstons,627,7
pinesdale,1446,0
wainscott,706,0
hiteman,1226,3
lakeville,111,7
shelbyville,918,7
coffeen,1212,1
wainscott,80,4
mifflinburg,884,4
forkland,9,3
pinesdale,807,6
hiteman,1530,5
